126,284878679  5,58589828493e-25
363,756540453  1,57642901108e-24
910,876419765  4,02393690862e-24
1952,2729664  8,68867371231e-24
5043,15948717  2,37137370566e-23
9108,76419765  4,18883277779e-23
140,814912176  6,17586329859e-25
157,016736277  7,06052848205e-25
183,448224801  8,07191805189e-25
221,102979291  9,86702086365e-25
274,909146308  1,16643479192e-24
316,227766017  1,37890670608e-24
418,42885079  1,80224551525e-24
504,315948717  2,13053352335e-24
607,83231283  2,69297646615e-24
721,287005454  3,07873346955e-24
1080,89568666  4,91881473228e-24
1386,41066931  6,0127032108e-24
1594,78705829  7,10794708499e-24
2504,0825895  1,13561875959e-23
3065,39529506  1,43541256712e-23
3993,47850663  1,87609926779e-23
6468,60766155  2,89874025961e-23
7325,96542822  3,42676025343e-23
242,736527692  1,05500814844e-24
459,369505798  1,99259301995e-24
198,288394913  8,92444865679e-25
3471,68681893  1,58701632923e-23
4384,21548739  2,0059753011e-23
