124,335342378  3,4962674838e-25
134,393535276  3,16227766017e-25
145,265392595  2,95753731341e-25
157,016736277  2,58696586162e-25
175,082703174  2,41947383705e-25
183,448224801  2,26282601368e-25
204,555335005  2,11632028822e-25
224,569799554  1,97930001479e-25
238,989256623  1,91415342225e-25
270,665207003  1,79022235815e-25
316,227766017  1,67431515904e-25
363,756540453  1,61920682446e-25
488,865274511  1,56591232315e-25
580,114223085  1,56591232315e-25
721,287005454  1,56591232315e-25
896,814667758  1,61920682446e-25
1224,15902251  1,67431515904e-25
1365,00780655  1,73129905917e-25
1645,19058775  1,85115106175e-25
1922,13454399  1,97930001479e-25
2176,89678435  2,0466638165e-25
2465,4255471  2,11632028822e-25
3018,07292782  2,26282601368e-25
3526,12169923  2,41947383705e-25
3871,13072939  2,50181858246e-25
4813,18364628  2,76605279492e-25
5984,48836587  2,95753731341e-25
7676,00298828  3,26990310536e-25
8968,14667758  3,4962674838e-25
9845,62393205  3,61525999011e-25
1031,60517838  1,61920682446e-25
