138,641066931  7,25212224722e-26
154,592773642  7,75416224411e-26
161,979278236  8,29095677903e-26
192,213454399  9,16662156559e-26
214,329070776  1,01347713136e-25
238,989256623  1,1205173994e-25
262,372865778  1,15865326124e-25
316,227766017  1,36970773079e-25
352,612169923  1,51437195468e-25
405,60949049  1,67431515904e-25
431,65336926  1,79022235815e-25
466,572264966  1,97930001479e-25
528,412366578  2,18834745904e-25
562,34132519  2,33983938293e-25
667,304916057  2,76605279492e-25
779,636013041  3,26990310536e-25
925,158655308  3,86553226246e-25
1080,89568666  4,72518269359e-25
1365,00780655  6,17586329859e-25
1498,5653124  6,82813856202e-25
1645,19058775  7,5493050879e-25
1892,46138669  8,92444865679e-25
2013,97490175  9,86702086365e-25
2316,67368128  1,12804280912e-24
2583,22456642  1,28962996713e-24
3018,07292782  1,63008143897e-24
4184,2885079  2,51862082925e-24
4888,65274511  3,07873346955e-24
5536,60120928  3,63954012416e-24
6673,04916057  4,75691708324e-24
6777,6803244  4,91881473228e-24
7796,36013041  6,0127032108e-24
9108,76419765  7,60000632101e-24
9693,63106114  8,40269509268e-24
3581,41010013  1,99259301995e-24
