[Measurement conditions]
Sample identification,MnO2
Comment - 1,"Configuration=Plataforma Reflexion-Transmision spinner, Owner=User-1, Creation date=2/3/2023 7:20:03 AM"
Comment - 2,"Goniometer=Omega/2Theta; Minimum step size 2Theta:0.0001; Minimum step size Omega:0.0001"
Comment - 3,"Sample stage=Reflection-transmission spinner; Minimum step size Phi:0.1"
Comment - 4,"Diffractometer system=EMPYREAN"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\DRX01-005-5-80.xrdmp, Identifier={D2D94ECF-D8E1-4D65-A9F1-1EA3648327E6}"
Comment - 6,"Batch program=C:\PANalytical\Data Collector\Programs\BATCH.xrdmp, Identifier={1A5E0411-49C0-46C9-A459-383431844E05}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.500
Divergence slit,Fixed,0.5
Monochromator used,NO
Generator voltage, 45
Tube current, 40
File date and time,07/Mar/2023 13:57
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,4.999799996,79.999969724
Scan step size,0.0525211
No. of points, 1428
Scan type,CONTINUOUS
Phi,67.4
Time per step,44.880
[Scan points]
Angle,Intensity
5.026060560,4996.0
5.078581687,5023.0
5.131102815,4943.0
5.183623942,4962.0
5.236145069,4898.0
5.288666196,4842.0
5.341187324,4799.0
5.393708451,4681.0
5.446229578,4759.0
5.498750705,4620.0
5.551271833,4608.0
5.603792960,4642.0
5.656314087,4530.0
5.708835214,4603.0
5.761356342,4498.0
5.813877469,4326.0
5.866398596,4509.0
5.918919723,4509.0
5.971440851,4321.0
6.023961978,4310.0
6.076483105,4413.0
6.129004232,4381.0
6.181525360,4372.0
6.234046487,4339.0
6.286567614,4288.0
6.339088741,4416.0
6.391609869,4274.0
6.444130996,4415.0
6.496652123,4359.0
6.549173251,4463.0
6.601694378,4366.0
6.654215505,4372.0
6.706736632,4280.0
6.759257760,4457.0
6.811778887,4277.0
6.864300014,4293.0
6.916821141,4400.0
6.969342269,4290.0
7.021863396,4318.0
7.074384523,4283.0
7.126905650,4325.0
7.179426778,4258.0
7.231947905,4275.0
7.284469032,4402.0
7.336990159,4382.0
7.389511287,4249.0
7.442032414,4316.0
7.494553541,4330.0
7.547074668,4260.0
7.599595796,4303.0
7.652116923,4256.0
7.704638050,4306.0
7.757159178,4308.0
7.809680305,4193.0
7.862201432,4195.0
7.914722559,4296.0
7.967243687,4207.0
8.019764814,4262.0
8.072285941,4241.0
8.124807068,4199.0
8.177328196,4204.0
8.229849323,4253.0
8.282370450,4208.0
8.334891577,4271.0
8.387412705,4156.0
8.439933832,4232.0
8.492454959,4256.0
8.544976086,4098.0
8.597497214,4170.0
8.650018341,4183.0
8.702539468,4138.0
8.755060595,4203.0
8.807581723,4093.0
8.860102850,4056.0
8.912623977,4091.0
8.965145104,4220.0
9.017666232,4021.0
9.070187359,4033.0
9.122708486,4073.0
9.175229614,4028.0
9.227750741,4080.0
9.280271868,4028.0
9.332792995,3953.0
9.385314123,4036.0
9.437835250,4158.0
9.490356377,4037.0
9.542877504,4129.0
9.595398632,4006.0
9.647919759,4059.0
9.700440886,3981.0
9.752962013,4081.0
9.805483141,3936.0
9.858004268,3903.0
9.910525395,4021.0
9.963046522,3963.0
10.015567650,3861.0
10.068088777,3852.0
10.120609904,3907.0
10.173131031,3898.0
10.225652159,3914.0
10.278173286,3962.0
10.330694413,3819.0
10.383215541,3771.0
10.435736668,3904.0
10.488257795,3732.0
10.540778922,3853.0
10.593300050,3918.0
10.645821177,3900.0
10.698342304,3857.0
10.750863431,3875.0
10.803384559,3803.0
10.855905686,3842.0
10.908426813,3678.0
10.960947940,3779.0
11.013469068,3796.0
11.065990195,3662.0
11.118511322,3582.0
11.171032449,3708.0
11.223553577,3785.0
11.276074704,3622.0
11.328595831,3642.0
11.381116958,3735.0
11.433638086,3583.0
11.486159213,3610.0
11.538680340,3573.0
11.591201467,3735.0
11.643722595,3705.0
11.696243722,3597.0
11.748764849,3563.0
11.801285977,3635.0
11.853807104,3666.0
11.906328231,3497.0
11.958849358,3480.0
12.011370486,3582.0
12.063891613,3529.0
12.116412740,3618.0
12.168933867,3541.0
12.221454995,3499.0
12.273976122,3562.0
12.326497249,3474.0
12.379018376,3489.0
12.431539504,3556.0
12.484060631,3549.0
12.536581758,3553.0
12.589102885,3478.0
12.641624013,3519.0
12.694145140,3596.0
12.746666267,3335.0
12.799187394,3466.0
12.851708522,3465.0
12.904229649,3373.0
12.956750776,3459.0
13.009271904,3385.0
13.061793031,3420.0
13.114314158,3457.0
13.166835285,3433.0
13.219356413,3353.0
13.271877540,3345.0
13.324398667,3399.0
13.376919794,3316.0
13.429440922,3307.0
13.481962049,3210.0
13.534483176,3301.0
13.587004303,3351.0
13.639525431,3417.0
13.692046558,3368.0
13.744567685,3359.0
13.797088812,3391.0
13.849609940,3319.0
13.902131067,3261.0
13.954652194,3448.0
14.007173321,3304.0
14.059694449,3228.0
14.112215576,3278.0
14.164736703,3129.0
14.217257830,3213.0
14.269778958,3218.0
14.322300085,3256.0
14.374821212,3253.0
14.427342340,3224.0
14.479863467,3260.0
14.532384594,3245.0
14.584905721,3247.0
14.637426849,3176.0
14.689947976,3128.0
14.742469103,3152.0
14.794990230,3197.0
14.847511358,3275.0
14.900032485,3165.0
14.952553612,3151.0
15.005074739,3159.0
15.057595867,3125.0
15.110116994,3120.0
15.162638121,3075.0
15.215159248,3027.0
15.267680376,3177.0
15.320201503,3099.0
15.372722630,3110.0
15.425243757,3002.0
15.477764885,3014.0
15.530286012,3209.0
15.582807139,3052.0
15.635328267,3005.0
15.687849394,2867.0
15.740370521,3024.0
15.792891648,2896.0
15.845412776,2986.0
15.897933903,2950.0
15.950455030,2966.0
16.002976157,3055.0
16.055497285,2906.0
16.108018412,2973.0
16.160539539,2917.0
16.213060666,2931.0
16.265581794,2943.0
16.318102921,2943.0
16.370624048,2855.0
16.423145175,3026.0
16.475666303,2907.0
16.528187430,2804.0
16.580708557,2858.0
16.633229684,2939.0
16.685750812,2918.0
16.738271939,2831.0
16.790793066,2935.0
16.843314193,2776.0
16.895835321,2939.0
16.948356448,2744.0
17.000877575,2825.0
17.053398703,2838.0
17.105919830,2825.0
17.158440957,2757.0
17.210962084,2728.0
17.263483212,2768.0
17.316004339,2812.0
17.368525466,2767.0
17.421046593,2662.0
17.473567721,2695.0
17.526088848,2753.0
17.578609975,2594.0
17.631131102,2685.0
17.683652230,2741.0
17.736173357,2637.0
17.788694484,2700.0
17.841215611,2667.0
17.893736739,2792.0
17.946257866,2740.0
17.998778993,2685.0
18.051300120,2739.0
18.103821248,2689.0
18.156342375,2668.0
18.208863502,2675.0
18.261384630,2613.0
18.313905757,2630.0
18.366426884,2567.0
18.418948011,2665.0
18.471469139,2676.0
18.523990266,2604.0
18.576511393,2659.0
18.629032520,2547.0
18.681553648,2519.0
18.734074775,2475.0
18.786595902,2639.0
18.839117029,2599.0
18.891638157,2624.0
18.944159284,2659.0
18.996680411,2596.0
19.049201538,2642.0
19.101722666,2561.0
19.154243793,2586.0
19.206764920,2628.0
19.259286047,2541.0
19.311807175,2697.0
19.364328302,2567.0
19.416849429,2557.0
19.469370556,2676.0
19.521891684,2540.0
19.574412811,2528.0
19.626933938,2580.0
19.679455066,2558.0
19.731976193,2521.0
19.784497320,2494.0
19.837018447,2515.0
19.889539575,2519.0
19.942060702,2444.0
19.994581829,2467.0
20.047102956,2485.0
20.099624084,2453.0
20.152145211,2500.0
20.204666338,2498.0
20.257187465,2462.0
20.309708593,2551.0
20.362229720,2491.0
20.414750847,2469.0
20.467271974,2515.0
20.519793102,2532.0
20.572314229,2435.0
20.624835356,2567.0
20.677356483,2368.0
20.729877611,2485.0
20.782398738,2392.0
20.834919865,2541.0
20.887440993,2517.0
20.939962120,2364.0
20.992483247,2528.0
21.045004374,2421.0
21.097525502,2445.0
21.150046629,2437.0
21.202567756,2484.0
21.255088883,2418.0
21.307610011,2439.0
21.360131138,2378.0
21.412652265,2433.0
21.465173392,2365.0
21.517694520,2371.0
21.570215647,2287.0
21.622736774,2524.0
21.675257901,2249.0
21.727779029,2472.0
21.780300156,2491.0
21.832821283,2337.0
21.885342410,2405.0
21.937863538,2372.0
21.990384665,2359.0
22.042905792,2362.0
22.095426919,2291.0
22.147948047,2351.0
22.200469174,2353.0
22.252990301,2262.0
22.305511429,2385.0
22.358032556,2307.0
22.410553683,2278.0
22.463074810,2326.0
22.515595938,2440.0
22.568117065,2198.0
22.620638192,2356.0
22.673159319,2304.0
22.725680447,2354.0
22.778201574,2292.0
22.830722701,2356.0
22.883243828,2359.0
22.935764956,2347.0
22.988286083,2343.0
23.040807210,2353.0
23.093328337,2183.0
23.145849465,2340.0
23.198370592,2327.0
23.250891719,2295.0
23.303412846,2208.0
23.355933974,2268.0
23.408455101,2252.0
23.460976228,2300.0
23.513497356,2296.0
23.566018483,2373.0
23.618539610,2202.0
23.671060737,2233.0
23.723581865,2217.0
23.776102992,2283.0
23.828624119,2259.0
23.881145246,2318.0
23.933666374,2266.0
23.986187501,2249.0
24.038708628,2334.0
24.091229755,2185.0
24.143750883,2287.0
24.196272010,2282.0
24.248793137,2340.0
24.301314264,2290.0
24.353835392,2166.0
24.406356519,2146.0
24.458877646,2115.0
24.511398773,2279.0
24.563919901,2297.0
24.616441028,2161.0
24.668962155,2159.0
24.721483282,2236.0
24.774004410,2197.0
24.826525537,2209.0
24.879046664,2215.0
24.931567792,2253.0
24.984088919,2245.0
25.036610046,2171.0
25.089131173,2230.0
25.141652301,2209.0
25.194173428,2186.0
25.246694555,2206.0
25.299215682,2256.0
25.351736810,2181.0
25.404257937,2234.0
25.456779064,2191.0
25.509300191,2299.0
25.561821319,2272.0
25.614342446,2218.0
25.666863573,2188.0
25.719384700,2286.0
25.771905828,2189.0
25.824426955,2345.0
25.876948082,2293.0
25.929469209,2198.0
25.981990337,2155.0
26.034511464,2179.0
26.087032591,2226.0
26.139553719,2190.0
26.192074846,2154.0
